index,name,address,reason
792,Urząd Gminy Nurzec-Stacja,"ul. Żerczycka 33
 17-330 Nurzec-Stacja",Service not available
795,Urząd Gminy Hajnówka,"ul. Aleksego Zina 1
17-200 Hajnówka",Service not available
798,Urząd Gminy Krypno Kościelne,"Krypno Kościelne 23 B
19-111 Krypno Kościelne",Geocoding failed
803,Urząd Miasta Bielsk Podlaski,"ul. M. Kopernika 1
17-100 Bielsk Podlaski",Geocoding failed
807,Urząd Gminy Dziadkowice,17-306 Dziadkowice 13,Geocoding failed
809,Starostwo Powiatowe w Grajewie,"ul. Strażacka 6B
 19-200 Grajewo",Service not available
812,Gminny Ośrodek Pomocy Społecznej w Boćkach,"pl. Armii Krajowej 3
17-111 Boćki",Service not available
816,Urząd Gminy Nowinka,"Nowinka 33, 16-304 Nowinka",Service not available
819,Urząd Gminy Poświętne,"Poświętne 21 
18-112 Poświętne",Service not available
825,Urząd Miasta Wysokie Mazowieckie,"ul.Ludowa 15
18-200 Wysokie Mazowieckie",Geocoding failed
828,Ośrodek Pomocy Społecznej w Nowogrodzie,"ul. Łomżyńska 41
 18-414 Nowogród",Service not available
836,Ośrodek Pomocy Społecznej  w Starym Sączu,"ul. 11 Listopada 11
 33 - 340 Stary Sącz",Service not available
838,Zespół Interdyscyplinarny w Stryszawie,34-205 Stryszawa 17,Geocoding failed
839,Urząd Gminy Bolesław,"ul. Główna 58, 32-329 Bolesław","value too long for type character varying(100)
"
840,"Tarnowski Ośrodek Interwencji Kryzysowej i Wsparcia Osób Doznających
Przemocy Domowej (TOIKiWODPD)","ul. Szarych Szeregów 1
 33-101 Tarnów",Service not available
844,Gminny Ośrodek Pomocy Społecznej w Pcimiu,32-432 Pcim 1177,Geocoding failed
845,Gminny Ośrodek Pomocy Społecznej w Spytkowicach,34-745 Spytkowice 26,Geocoding failed
849,Gminny Ośrodek Pomocy Społecznej w Słopnicach,34-615 Słopnice 911,Service not available
850,Gminny Ośrodek Pomocy Społecznej w Iwanowicach,"ul. Ojcowska 11
 32-095 Iwanowice Włościańskie",Service not available
856,Starostwo Powiatowe w Zakopanem,"ul. Chramcówki 15
34-500 Zakopane",Service not available
858,Miejski Ośrodek Pomocy Społecznej w Nowym Sączu,"ul. Grunwaldzka 59A
33-300 Nowy Sącz",Service not available
860,Gminny Ośrodek Pomocy Społecznej w Zembrzycach,34-210 Zembrzyce 540,Service timed out
863,Miejski Ośrodek Pomocy Społecznej w Limanowej,"ul. Kilińskiego 11 
34-600 Limanowa",Service not available
